ne,alpha avg,alpha max,alpha min,tau avg,tau max,tau min
4,2.76673,3.47584,2.31069,1.44573,1.71499,1.02899
19,2.78415,3.47584,2.31069,1.53255,1.94365,1.02899
30,2.72081,3.47584,2.31069,1.49106,1.94365,1.02899
51,2.72121,3.47584,2.31069,1.60432,1.94365,1.02899
75,2.72705,3.47584,2.31069,1.54558,1.94365,1.02899
125,2.75549,3.47584,2.31069,1.61693,1.94365,1.02899
191,2.71977,3.47584,2.31069,1.54243,1.94365,1.02899
278,2.72295,3.47584,2.31069,1.60065,1.94365,1.02899
389,2.72145,3.47584,2.31069,1.54549,1.94365,1.02899
571,2.71708,3.47584,2.31069,1.60262,1.94365,1.02899
811,2.72175,3.47584,2.31069,1.54058,1.94365,1.02899
1199,2.72255,3.47584,2.31069,1.60371,1.94365,1.02899
1685,2.72821,3.47584,2.31069,1.54574,1.94365,1.02899
2456,2.71817,3.47584,2.31069,1.60631,1.94365,1.02899
3432,2.72386,3.47584,2.31069,1.54792,1.94365,1.02899